CN360Malware-Dendroid
CN360Malware-FormBook
FruitFly
WINERACK
AndroRAT
Smoke Loader
Remexi
Cardinal RAT
OSInfo
LoJax
RemoteCMD
BabyShark
Android/Chuli.A
Vasport
BadPatch
HARDRAIN
SQLRat
SEASHARPEE
RDAT
Mandrake
Flagpro
Ebury
SYSCON
Ecipekac
Pallas
Bankshot
OldBoot
ProLock
Gooligan
Peppy
T9000
FakeSpy
Ixeshe
QakBot
Exodus
RegDuke
Winnti for Linux
3PARA RAT
WindTail
Meteor
HiddenWasp
OLDBAIT
NanHaiShu
POSHSPY
Javali
DDKONG
RTM
Rising Sun
Pony
Rifdoor
CarbonSteal
GoldMax
MarkiRAT
iKitten
WellMess
EvilBunny
Reaver
Duqu
Lizar
Starloader
FALLCHILL
BOOTRASH
Anubis
ShadowPad
FoggyWeb
FELIXROOT
Clop
X-Agent for Android
SodaMaster
TrickBot
HELLOKITTY
RogueRobin
RawPOS
RedLeaves
EvilGrab
Komplex
FYAnti
DustySky
DOGCALL
CrossRAT
Flame
Hacking Team UEFI Rootkit
Exaramel for Linux
AppleSeed
BlackEnergy
Rover
SNUGRIDE
PUNCHTRACK
GoldFinder
GLOOXMAIL
CORESHELL
ViceLeaker
Felismus
Adups
Kessel
BlackEnergy 3
NavRAT
Unknown Logger
SimBad
Raindrop
